Processor,,AMD Ryzen 9 7900X3D 12-Core @ 5.66GHz (12 Cores / 24 Threads),AMD Ryzen 9 7950X3D 16-Core @ 5.76GHz (16 Cores / 32 Threads),AMD Ryzen 9 7950X 16-Core @ 5.88GHz (16 Cores / 32 Threads),AMD Ryzen 7 8700G @ 5.18GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900 12-Core @ 5.48GHz (12 Cores / 24 Threads),AMD Ryzen 5 7600X 6-Core @ 5.45GHz (6 Cores / 12 Threads),AMD Ryzen 7 7700X 8-Core @ 5.57GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900X 12-Core @ 5.73GHz (12 Cores / 24 Threads),AMD Ryzen 5 8600G @ 5.07GHz (6 Cores / 12 Threads),AMD Ryzen 7 7800X3D 8-Core @ 5.05GHz (8 Cores / 16 Threads),AMD Ryzen 7 7700 8-Core @ 5.39GHz (8 Cores / 16 Threads)
nginx - Connections: 1000 (Reqs/sec),HIB,124497.13,160717.78,157947.73,77202.02,113213.91,67147.41,93320.95,126881.07,58503.3,93500.95,
Apache HTTP Server - Concurrent Requests: 500 (Reqs/sec),HIB,119763.3,145568.99,149544.39,91354.05,113095.53,79285.2,107318.1,124228.55,68814.54,102505.47,
Apache HTTP Server - Concurrent Requests: 1000 (Reqs/sec),HIB,118549.17,147186.87,148727.98,82737.12,112523.91,70941.14,97489.88,122871.93,62487.36,97434.42,
Gcrypt Library -  (sec),LIB,157.944,158.357,156.289,165.796,157.167,158.331,153.937,156.621,168.702,169.611,
OpenSSL - Algorithm: RSA4096 (sign/s),HIB,10314,13765.5,15041.1,6953.1,9237.8,5682.1,7899.3,11618.3,5201.8,6981,
OpenSSL - Algorithm: RSA4096 (verify/s),HIB,276165,373708.4,390553.3,181087.3,269274.7,141617.8,197800.3,291492.8,129567,181261.5,
OpenSSL - Algorithm: SHA256 (byte/s),HIB,25031729300,33685103517,36112717797,16443782513,23422051187,12660251213,18276562437,26875900640,11673267430,16077606657,
OpenSSL - Algorithm: SHA512 (byte/s),HIB,8005917573,10776664750,11688134707,5435579553,7677141853,4123057283,5919888683,8679927303,3808991893,5065063923,
OpenSSL - Algorithm: AES-128-GCM (byte/s),HIB,1.8859E+11,2.52698E+11,2.68355E+11,1.22893E+11,1.71705E+11,1.0118E+11,1.37083E+11,2.0111E+11,92178728367,1.26642E+11,
OpenSSL - Algorithm: AES-256-GCM (byte/s),HIB,1.61342E+11,2.16304E+11,2.29695E+11,1.03716E+11,1.4776E+11,87301717810,1.16859E+11,1.71721E+11,79378149553,1.08321E+11,
OpenSSL - Algorithm: ChaCha20 (byte/s),HIB,97569908883,1.30931E+11,1.37245E+11,62921248133,91441462930,45138672714,69874425400,1.02486E+11,46493672610,65041419193,
OpenSSL - Algorithm: ChaCha20-Poly1305 (byte/s),HIB,69128654303,92650569000,97503846853,44538023027,64824923840,30773352477,49651649337,72950722013,32959747230,46333909220,
Cryptsetup - PBKDF2-sha512 (Iterations/sec),HIB,2568706,2535857,2741396,2649046,2720081,2793726,2778342,2594426,2590164,2463378,
Cryptsetup - PBKDF2-whirlpool (Iterations/sec),HIB,945196,913401,985510,948159,980591,1002462,1004871,948656,936228,911812,
Cryptsetup - AES-XTS 256b Encryption (MiB/s),HIB,5605.1,6548.3,6382.6,5924.3,6240.7,6284.9,6390,6298.6,5815.8,5617.2,
Cryptsetup - AES-XTS 256b Decryption (MiB/s),HIB,5693.5,6590.1,6370.7,5920.1,6255.5,6279.3,6408.8,6326.6,5816,5636,
Cryptsetup - Serpent-XTS 256b Encryption (MiB/s),HIB,939.1,1017.1,1002.2,944.3,963.5,800.6,984.4,996.8,928.5,924.9,
Cryptsetup - Serpent-XTS 256b Decryption (MiB/s),HIB,927,1011,994,937.6,955.4,793.7,974.4,988.2,922,917.8,
Cryptsetup - Twofish-XTS 256b Encryption (MiB/s),HIB,581.4,644.9,619.8,591.5,621.7,625.5,631.9,613.1,581.5,577.5,
Cryptsetup - Twofish-XTS 256b Decryption (MiB/s),HIB,587.5,658.7,631,603.4,634.1,639,643.8,624.5,592.9,581.8,
Cryptsetup - AES-XTS 512b Encryption (MiB/s),HIB,5345.9,6129,5895.8,5536,5819.4,5858,5962.8,5899.2,5446.6,5381.9,
Cryptsetup - AES-XTS 512b Decryption (MiB/s),HIB,5397.5,6129.9,5898.9,5523,5818,5845.7,5964.7,5899.4,5426,5385.5,
Cryptsetup - Serpent-XTS 512b Encryption (MiB/s),HIB,938.9,1018.8,1001.9,945.1,963.5,802.4,982.7,997.4,928.7,925.6,
Cryptsetup - Serpent-XTS 512b Decryption (MiB/s),HIB,925.7,1009.7,993,936.7,954.7,794,973,987.4,919.9,916.7,
Cryptsetup - Twofish-XTS 512b Encryption (MiB/s),HIB,581.8,645.1,617.8,590.5,620.4,625.5,630.4,611.5,579.9,580.2,
Cryptsetup - Twofish-XTS 512b Decryption (MiB/s),HIB,588,660.3,632.4,605.6,635.6,641,645.5,626.6,593.7,584.2,
John The Ripper - Test: MD5 (Real C/S),HIB,3009000,4163667,4617333,2094667,2877333,335911,2361333,3424000,326733,2079667,
John The Ripper - Test: Blowfish (Real C/S),HIB,32985,45318,47600,22351,32324,7951,24210,35089,7196,22511,
John The Ripper - Test: HMAC-SHA512 (Real C/S),HIB,142026333,186808000,201616333,110356000,142913000,2046933,123520000,159679667,1937333,112961000,
John The Ripper - Test: bcrypt (Real C/S),HIB,32818,45379,47572,22340,32294,7959,24227,35159,7202,22516,
John The Ripper - Test: WPA PSK (Real C/S),HIB,121552,163912,174583,79626,112964,33303,89227,129128,28608,82142,
Xmrig - Variant: GhostRider - Hash Count: 1M (H/s),HIB,2789.5,3531.9,3516.9,921.7,2822.8,1447.9,1773.6,2986.1,924.1,1818.8,
Cpuminer-Opt - Algorithm: scrypt (kH/s),HIB,227.9,305.77,333.45,152.48,205.84,120.34,167.84,247.64,110.89,148.32,
"Cpuminer-Opt - Algorithm: Triple SHA-256, Onecoin (kH/s)",HIB,61357,81867,87320,40523,56807,31350,44357,65337,28557,40020,
"Cpuminer-Opt - Algorithm: Quad SHA-256, Pyrite (kH/s)",HIB,47220,63713,67860,32110,43257,24080,34350,50507,22037,30673,
Cpuminer-Opt - Algorithm: Myriad-Groestl (kH/s),HIB,8646.62,11573,12313,5705.52,8090.87,4375.2,6205.42,9149.22,4053.75,5775.81,
Cpuminer-Opt - Algorithm: Magi (kH/s),HIB,490.72,668.23,695.87,323.76,465.02,247.61,353.75,518.77,225.38,327.6,
Cpuminer-Opt - Algorithm: Blake-2 S (kH/s),HIB,110223,149920,154177,71487,102163,55463,77930,115253,50690,72870,
Cpuminer-Opt - Algorithm: Garlicoin (kH/s),HIB,2755.07,3692.96,3896.73,1790.75,2484.68,1408.14,1977.42,2908.63,1294.4,1800.24,
Cpuminer-Opt - Algorithm: Ringcoin (kH/s),HIB,2673.23,3575.45,3778.66,1760.25,2479.78,1371.19,1918.08,2821.37,1280.73,1757.26,
Cpuminer-Opt - Algorithm: Deepcoin (kH/s),HIB,6713.79,8979.58,9454.54,4389.36,6261.41,3401.16,4782.95,7080.66,3132.78,4407.52,
Cpuminer-Opt - Algorithm: Skeincoin (kH/s),HIB,33630,45047,47723,22253,32090,17003,24180,35713,15550,21827,
"Cpuminer-Opt - Algorithm: LBC, LBRY Credits (kH/s)",HIB,12020,16327,16847,7853.52,11560,6077.64,8574.06,12680,5511.46,7931.82,
Cpuminer-Opt - Algorithm: x20r (kH/s),HIB,6043.37,8145.89,8745.8,3999.41,5595.2,3155.96,4403.07,6486.57,2848.15,3894,
ScyllaDB - Test: Writes (Op/s),HIB,114115,152262,157663,72596,110869,57361,93367,120455,50868,87809,
DuckDB - Benchmark: IMDB (sec),LIB,85.52,79.828,76.811,104.57,84.88,107.46,90.005,81.025,118.827,96.359,
DuckDB - Benchmark: TPC-H Parquet (sec),LIB,96.244,92.574,90.278,103.949,94.003,99.818,93.313,91.928,108.788,101.704,
DuckDB - Benchmark: Clickbench (sec),LIB,15.697,14.576,14.392,20.891,16.414,21.928,17.817,15.309,24.318,18.491,
Apache IoTDB - Device Count: 500 - Batch Size Per Write: 100 - Sensor Count: 500 - Client Number: 400 (point/sec),HIB,69051125,69385919,68928531,60263722,66634154,52797566,63222104,67730025,50656488,62503330,
Apache IoTDB - Device Count: 500 - Batch Size Per Write: 100 - Sensor Count: 500 - Client Number: 400 (Latency),LIB,231.84,233.19,235.02,262.45,241.47,289.1,250.47,238.91,299.55,256.79,
Apache IoTDB - Device Count: 500 - Batch Size Per Write: 100 - Sensor Count: 800 - Client Number: 400 (point/sec),HIB,69806559,73423096,72083574,53952173,68017269,45967304,58605737,69499071,43926656,58648501,
Apache IoTDB - Device Count: 500 - Batch Size Per Write: 100 - Sensor Count: 800 - Client Number: 400 (Latency),LIB,348.49,328.96,343.62,441.52,350.06,523.48,402.65,352.01,545.5,403.43,
"ClickHouse - 100M Rows Hits Dataset, First Run / Cold Cache (Queries/min, Geo Mean)",HIB,251.52,265.64,239.33,196.37,243.02,194.59,227.48,245.31,181.89,242.53,
"ClickHouse - 100M Rows Hits Dataset, Second Run (Queries/min, Geo Mean)",HIB,291.16,298.82,272.22,215.23,260.36,216.93,248.23,277.81,195.54,271.11,
"ClickHouse - 100M Rows Hits Dataset, Third Run (Queries/min, Geo Mean)",HIB,292.7,301.24,268.97,211.08,266.26,219.89,252.23,279.1,194.06,265.67,
PostgreSQL - Scaling Factor: 100 - Clients: 1000 - Mode: Read Write (TPS),HIB,30929,25376,33938,22613,29510,20226,26827,31430,17451,28314,
PostgreSQL - Scaling Factor: 100 - Clients: 1000 - Mode: Read Write - Average Latency (ms),LIB,32.424,39.411,29.758,44.224,34.119,49.444,37.279,31.901,57.305,35.32,
PostgreSQL - Scaling Factor: 100 - Clients: 1000 - Mode: Read Only (TPS),HIB,916226,1223286,1021385,335482,742113,294390,405515,777708,262535,649076,
PostgreSQL - Scaling Factor: 100 - Clients: 1000 - Mode: Read Only - Average Latency (ms),LIB,1.092,0.818,0.979,2.981,1.348,3.399,2.466,1.286,3.809,1.541,
"CockroachDB - Workload: KV, 95% Reads - Concurrency: 128 (ops/s)",HIB,99762,125291.3,129993.2,69386,94302.5,61725.3,87099.8,98444.4,52884.4,83760.8,
"CockroachDB - Workload: KV, 50% Reads - Concurrency: 128 (ops/s)",HIB,60932.3,68654.9,69148.9,47612.8,59125.3,44261.8,56204.3,60434.8,38694,56408.3,
"CockroachDB - Workload: KV, 60% Reads - Concurrency: 128 (ops/s)",HIB,68093,78316.6,79302.7,51871.8,66013.9,47745.5,62561.5,67281.8,41616,62064.4,
Memcached - Set To Get Ratio: 1:100 (Ops/sec),HIB,2817555.44,3770804.51,3959973.33,1791480.23,2658830.24,1482180.24,2081384.74,2857267.04,1343339.56,1926836.94,
Memcached - Set To Get Ratio: 1:10 (Ops/sec),HIB,2885088,3827279.76,3981036.61,1879222.81,2717208.4,1549792.63,2185059.4,2893476.2,1406090.02,2025043.5,
RocksDB - Test: Random Read (Op/s),HIB,99456897,132664947,139018862,61167707,89211036,50166221,70764061,100634779,46110303,65491498,
RocksDB - Test: Read While Writing (Op/s),HIB,3292374,4563763,4532111,2197201,3158429,1780989,2600854,3223193,1628294,2532370,
RocksDB - Test: Read Random Write Random (Op/s),HIB,2469243,3266560,3363806,1770568,2468001,1555957,2362584,2079655,1436517,2305244,
RocksDB - Test: Update Random (Op/s),HIB,580593,800492,837769,427620,654860,384987,704065,566111,345048,654733,
Speedb - Test: Random Read (Op/s),HIB,102368060,137230701,143945059,62232942,91899802,51052971,72835728,103893954,47312902,68760920,
Speedb - Test: Read While Writing (Op/s),HIB,4115459,5474661,5462486,2899281,3979839,2255174,3258735,4072404,2176484,3315741,
Speedb - Test: Read Random Write Random (Op/s),HIB,2326009,2934049,3040960,1794101,2294550,1525960,2338569,2116722,1443175,2185736,
Speedb - Test: Update Random (Op/s),HIB,537117,648398,674467,449350,539939,407004,567398,527985,367126,525404,
PyBench - Total For Average Test Times (Milliseconds),LIB,560,573,549,553,551,529,537,556,559,602,
PyPerformance - Benchmark: go (Milliseconds),LIB,78.2,75.8,74.6,79.8,76,74.2,75.5,78.1,79.8,82.9,
PyPerformance - Benchmark: json_loads (Milliseconds),LIB,12.1,12,11.7,12.4,11.8,11.7,11.7,11.9,12.5,13,
PyPerformance - Benchmark: python_startup (Milliseconds),LIB,6.15,5.99,5.68,7.37,5.78,6.45,6.52,6.09,7.29,6.99,
PyPerformance - Benchmark: async_tree_io (Milliseconds),LIB,614,590,683,729,688,679,673,688,734,547,
PyPerformance - Benchmark: asyncio_tcp_ssl (Milliseconds),LIB,582,584,615,684,633,620,614,609,693,589,
PyPerformance - Benchmark: asyncio_websockets (Milliseconds),LIB,321,312,312,334,316,312,311,321,336,334,
PyPerformance - Benchmark: chaos (Milliseconds),LIB,39.1,37.7,37.8,39.8,37.9,37.6,38,38.5,40,41.6,
PyPerformance - Benchmark: crypto_pyaes (Milliseconds),LIB,42.3,41.2,40.9,42.8,40.9,40.5,40.5,41.5,43.5,45.3,
PyPerformance - Benchmark: django_template (Milliseconds),LIB,20.7,20.4,20.2,21.5,20.2,19.9,19.9,20.6,21.6,22.3,
PyPerformance - Benchmark: float (Milliseconds),LIB,51.5,49.5,49.3,52.5,49.3,48.7,48.1,49.5,52.8,53.8,
PyPerformance - Benchmark: gc_collect (Milliseconds),LIB,690,670,651,745,659,657,646,642,752,729,
PyPerformance - Benchmark: go (Milliseconds),LIB,77.6,75.7,74.6,80.6,75.2,74.3,75.2,74.9,79.7,82.6,
PyPerformance - Benchmark: json_loads (Milliseconds),LIB,12.4,12,11.8,12.5,11.9,11.7,11.7,11.9,12.5,13.1,
PyPerformance - Benchmark: nbody (Milliseconds),LIB,58.3,58.6,57.1,61.5,56.5,56,56.8,57.8,61,63.2,
PyPerformance - Benchmark: pathlib (Milliseconds),LIB,14.5,13.9,13.7,14.8,13.9,13.7,13.6,13.8,14.9,14.9,
PyPerformance - Benchmark: pickle_pure_python (Milliseconds),LIB,167,164,162,173,162,161,163,165,175,176,
PyPerformance - Benchmark: python_startup (Milliseconds),LIB,6.14,5.97,5.64,7.38,5.76,6.47,6.5,6.06,7.25,6.96,
PyPerformance - Benchmark: raytrace (Milliseconds),LIB,179,175,173,184,175,171,173,173,185,189,
PyPerformance - Benchmark: regex_compile (Milliseconds),LIB,71.2,69.7,68.7,72.4,69.2,68.4,68.5,68.9,73.1,75,
PyPerformance - Benchmark: xml_etree (Milliseconds),LIB,36.4,35.2,34.8,36.8,35.3,34.6,34.4,35,36.9,38.4,
Git - Time To Complete Common Git Commands (sec),LIB,33.951,32.891,32.608,35.177,33.183,32.896,32.5,32.434,35.426,35.36,
Perl Benchmarks - Test: Pod2html (sec),LIB,0.06507566,0.06837483,0.06089545,0.06806943,0.06343285,0.06144356,0.06102284,0.06160696,0.06827924,0.06969121,
Perl Benchmarks - Test: Interpreter (sec),LIB,0.00098875,0.00103926,0.00093927,0.00132523,0.00092174,0.00103494,0.00094596,0.00088573,0.00125139,0.00104846,
simdjson - Throughput Test: PartialTweets (GB/s),HIB,8.1,7.8,8.55,8.03,8.46,8.45,8.61,8.61,7.87,7.58,
simdjson - Throughput Test: LargeRandom (GB/s),HIB,1.69,1.74,1.83,1.72,1.84,1.83,1.85,1.84,1.7,1.69,
simdjson - Throughput Test: Kostya (GB/s),HIB,5.78,5.66,5.97,5.64,5.98,5.99,6.05,5.77,5.62,5.53,
simdjson - Throughput Test: DistinctUserID (GB/s),HIB,9.7,9,9.67,9.06,9.67,9.7,9.87,9.92,8.66,8.78,
simdjson - Throughput Test: TopTweet (GB/s),HIB,9.98,9.39,10.15,9.4,10.04,10.06,10.2,10.28,9.23,8.98,
Numpy Benchmark -  (Score),HIB,775.97,751.1,780.26,695.67,781.58,782.66,793.3,771.7,689.36,724.33,
Node.js V8 Web Tooling Benchmark -  (runs/s),HIB,20.07,21.06,21.16,20,20.8,22.9,23.29,21.3,20.02,22.72,
PHPBench - PHP Benchmark Suite (Score),HIB,1200157,1122259,1186698,1151798,1184117,1195421,1183018,1194525,1184146,1105785,
dav1d - Video Input: Summer Nature 1080p (FPS),HIB,1248.97,1372.56,1464.85,1170.96,1227,1108.97,1379.81,1314.5,961.24,1332.08,
dav1d - Video Input: Summer Nature 4K (FPS),HIB,366.57,402.19,400.75,298.87,340.94,257.39,342.9,352.81,239.58,359.91,
dav1d - Video Input: Chimera 1080p (FPS),HIB,855.54,903.77,976.55,865.51,868.66,832.42,1012.17,908.95,750.6,997.56,
dav1d - Video Input: Chimera 1080p 10-bit (FPS),HIB,779.01,820.83,861.27,754.14,778.19,748.15,868.94,794.7,676.25,908.69,
AOM AV1 - Encoder Mode: Speed 11 Realtime - Input: Bosphorus 1080p (FPS),HIB,261.27,229.54,229.66,272.45,245.36,314.58,337.54,241.32,260.55,365.85,
AOM AV1 - Encoder Mode: Speed 11 Realtime - Input: Bosphorus 4K (FPS),HIB,109.05,101.14,104.19,99.76,106.04,93.66,111.75,106.02,87.92,122.6,
AOM AV1 - Encoder Mode: Speed 9 Realtime - Input: Bosphorus 1080p (FPS),HIB,249.87,224.51,225.8,258.49,239.91,295.12,314.54,241.59,251.38,370.9,
AOM AV1 - Encoder Mode: Speed 9 Realtime - Input: Bosphorus 4K (FPS),HIB,106.98,100.22,102.67,98.11,105.24,94.8,110.4,104.76,86.85,120.79,
AOM AV1 - Encoder Mode: Speed 8 Realtime - Input: Bosphorus 1080p (FPS),HIB,238.83,217.43,214.56,247.02,221.36,280.68,302.33,238.8,225.19,343.8,
AOM AV1 - Encoder Mode: Speed 8 Realtime - Input: Bosphorus 4K (FPS),HIB,91.38,91.42,93.59,76.84,91.68,75.7,91.3,90.47,68.78,93.88,
AOM AV1 - Encoder Mode: Speed 6 Two-Pass - Input: Bosphorus 1080p (FPS),HIB,80.62,85.41,94.58,66.63,79.04,63.72,83.7,84,55.52,78.59,
AOM AV1 - Encoder Mode: Speed 6 Two-Pass - Input: Bosphorus 4K (FPS),HIB,27.5,29.55,31.44,20.32,25.89,19.06,25.86,28.03,16.34,25.46,
AOM AV1 - Encoder Mode: Speed 4 Two-Pass - Input: Bosphorus 1080p (FPS),HIB,27.18,29.64,33.05,21.21,26.68,20.46,25.89,28.6,17.95,23.64,
AOM AV1 - Encoder Mode: Speed 4 Two-Pass - Input: Bosphorus 4K (FPS),HIB,11.63,12.95,14.04,8.31,11.02,7.38,10.33,12.06,6.48,9.72,
AOM AV1 - Encoder Mode: Speed 0 Two-Pass - Input: Bosphorus 1080p (FPS),HIB,1.05,1.28,1.4,0.73,0.98,0.64,0.85,1.12,0.59,0.77,
AOM AV1 - Encoder Mode: Speed 0 Two-Pass - Input: Bosphorus 4K (FPS),HIB,0.34,0.41,0.45,0.24,0.32,0.2,0.28,0.37,0.18,0.25,
SVT-AV1 - Encoder Mode: Preset 13 - Input: Bosphorus 1080p (FPS),HIB,661.369,699.999,716.071,558.815,628.206,533.825,610.029,682.741,487.376,601.514,
SVT-AV1 - Encoder Mode: Preset 13 - Input: Bosphorus 4K (FPS),HIB,162.3,182.079,189.675,120.607,153.583,107.517,139.301,168.391,98.506,130.702,
SVT-AV1 - Encoder Mode: Preset 8 - Input: Bosphorus 1080p (FPS),HIB,155.911,169.533,188.186,119.418,150.79,113.596,141.262,167.695,101.451,129.806,
SVT-AV1 - Encoder Mode: Preset 8 - Input: Bosphorus 4K (FPS),HIB,53.289,63.148,69.083,35.49,48.734,31.578,42.5,56.38,28.378,39.38,
SVT-AV1 - Encoder Mode: Preset 5 - Input: Bosphorus 1080p (FPS),HIB,63.526,69.968,77.258,47.22,61.738,45.383,56.804,68.413,39.965,52.06,
SVT-AV1 - Encoder Mode: Preset 5 - Input: Bosphorus 4K (FPS),HIB,16.905,18.923,20.436,12.071,16.251,11.34,14.26,17.942,10.161,13.363,
SVT-AV1 - Encoder Mode: Preset 3 - Input: Bosphorus 1080p (FPS),HIB,19.624,21.373,23.696,14.824,19.262,14.098,17.823,21.029,12.498,16.153,
SVT-AV1 - Encoder Mode: Preset 3 - Input: Bosphorus 4K (FPS),HIB,5.471,6.194,6.791,3.782,5.202,3.491,4.542,5.79,3.108,4.181,
SVT-HEVC - Tuning: 10 - Input: Bosphorus 1080p (FPS),HIB,460.4,570.82,591.84,321.5,431.27,281.9,377.06,467.09,254.64,357.02,
SVT-HEVC - Tuning: 10 - Input: Bosphorus 4K (FPS),HIB,144.89,168.74,169.72,101.19,134.22,87.21,116.41,142.63,80.62,112.96,
SVT-VP9 - Tuning: PSNR/SSIM Optimized - Input: Bosphorus 1080p (FPS),HIB,365.82,430.38,441.66,230.95,344.83,218.78,262.29,366.94,198.89,256.6,
SVT-VP9 - Tuning: PSNR/SSIM Optimized - Input: Bosphorus 4K (FPS),HIB,106.73,119.83,119.91,72.9,100.76,64.99,80.58,104.61,60.95,79.39,
SVT-VP9 - Tuning: VMAF Optimized - Input: Bosphorus 1080p (FPS),HIB,357.15,423.34,432.35,222.75,337.58,214.18,253.29,357.22,194.78,249.66,
SVT-VP9 - Tuning: VMAF Optimized - Input: Bosphorus 4K (FPS),HIB,102.44,114.58,112.92,70.17,96.88,63.32,76.89,99.89,59.65,76.55,
x265 - Video Input: Bosphorus 1080p (FPS),HIB,105.27,115.95,125.44,80.17,103.31,82.27,91.81,110.11,74.72,89.5,
x265 - Video Input: Bosphorus 4K (FPS),HIB,28.89,34.73,35.98,16.97,27.1,17.93,17.98,29.19,16.42,18.65,
Kvazaar - Video Input: Bosphorus 1080p - Video Preset: Slow (FPS),HIB,65.03,80.41,90.17,54.8,64.63,46.27,64.42,70.96,41.36,57.22,
Kvazaar - Video Input: Bosphorus 1080p - Video Preset: Medium (FPS),HIB,66.93,83.16,93.22,56.43,66.78,47.64,66.34,73.43,42.59,58.9,
Kvazaar - Video Input: Bosphorus 1080p - Video Preset: Very Fast (FPS),HIB,129.85,173.34,193.79,110.93,129.27,101.47,130.69,142.81,90.79,116.53,
Kvazaar - Video Input: Bosphorus 1080p - Video Preset: Super Fast (FPS),HIB,171.72,227.17,255.51,143.39,168.72,125.97,169.6,189.01,112.25,150.93,
Kvazaar - Video Input: Bosphorus 1080p - Video Preset: Ultra Fast (FPS),HIB,227.8,275.04,308.3,192.42,225.14,167.62,226.44,251.89,147.83,202.55,
Kvazaar - Video Input: Bosphorus 4K - Video Preset: Slow (FPS),HIB,15.06,20.42,22.94,10.46,14.13,9.19,12.62,16.18,8.3,11.16,
Kvazaar - Video Input: Bosphorus 4K - Video Preset: Medium (FPS),HIB,15.41,20.86,23.4,10.69,14.47,9.38,12.87,16.52,8.48,11.4,
Kvazaar - Video Input: Bosphorus 4K - Video Preset: Very Fast (FPS),HIB,36.66,45,50.31,26.57,34.82,23.55,31.93,39.42,21.27,28.4,
Kvazaar - Video Input: Bosphorus 4K - Video Preset: Super Fast (FPS),HIB,46.29,58.67,65.92,33.26,43.69,29.1,39.9,49.69,26.53,35.45,
Kvazaar - Video Input: Bosphorus 4K - Video Preset: Ultra Fast (FPS),HIB,59.08,75.77,84.84,44.77,56.49,39.48,53.57,63.83,36.34,47.56,
uvg266 - Video Input: Bosphorus 1080p - Video Preset: Slow (FPS),HIB,39.09,48.03,53.63,27.71,36.75,23.24,33.34,41.71,21.07,29.78,
uvg266 - Video Input: Bosphorus 1080p - Video Preset: Medium (FPS),HIB,42.76,52.84,58.92,30.18,40.26,25.34,36.18,45.73,22.98,32.38,
uvg266 - Video Input: Bosphorus 1080p - Video Preset: Very Fast (FPS),HIB,96.27,128.22,142.79,67.78,89.81,59.01,81.76,102.76,53.08,72.97,
uvg266 - Video Input: Bosphorus 1080p - Video Preset: Super Fast (FPS),HIB,105.2,135.06,150.51,71.64,97.53,61.54,86.49,111.54,55.41,76.68,
uvg266 - Video Input: Bosphorus 1080p - Video Preset: Ultra Fast (FPS),HIB,120.24,151.65,169.38,82.59,111.46,69.98,99.6,127.22,63.15,88.47,
uvg266 - Video Input: Bosphorus 4K - Video Preset: Slow (FPS),HIB,8.51,11.35,12.76,5.5,7.79,4.74,6.64,8.99,4.27,5.96,
uvg266 - Video Input: Bosphorus 4K - Video Preset: Medium (FPS),HIB,9.44,12.6,14.12,6.13,8.63,5.28,7.4,9.97,4.73,6.63,
uvg266 - Video Input: Bosphorus 4K - Video Preset: Very Fast (FPS),HIB,24.08,30.94,34.69,15.68,21.8,13.45,19.02,25.39,11.94,17.1,
uvg266 - Video Input: Bosphorus 4K - Video Preset: Super Fast (FPS),HIB,24.36,31.85,35.83,15.81,21.99,13.6,19.21,25.58,12.11,17.21,
uvg266 - Video Input: Bosphorus 4K - Video Preset: Ultra Fast (FPS),HIB,27.58,36.47,40.75,18.21,25.03,15.63,22.05,29.13,13.93,19.77,
VVenC - Video Input: Bosphorus 1080p - Video Preset: Fast (FPS),HIB,21.46,23.145,24.994,16.666,20.476,15.344,19.609,22.502,13.932,17.834,
