Processor,,AMD Ryzen 9 7900X3D 12-Core @ 5.66GHz (12 Cores / 24 Threads),AMD Ryzen 9 7950X3D 16-Core @ 5.76GHz (16 Cores / 32 Threads),AMD Ryzen 9 7950X 16-Core @ 5.88GHz (16 Cores / 32 Threads),AMD Ryzen 7 8700G @ 5.18GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900 12-Core @ 5.48GHz (12 Cores / 24 Threads),AMD Ryzen 5 7600X 6-Core @ 5.45GHz (6 Cores / 12 Threads),AMD Ryzen 7 7700X 8-Core @ 5.57GHz (8 Cores / 16 Threads),AMD Ryzen 9 7900X 12-Core @ 5.73GHz (12 Cores / 24 Threads),AMD Ryzen 5 8600G @ 5.07GHz (6 Cores / 12 Threads),AMD Ryzen 7 7800X3D 8-Core @ 5.05GHz (8 Cores / 16 Threads),AMD Ryzen 7 7700 8-Core @ 5.39GHz (8 Cores / 16 Threads)
VVenC - Video Input: Bosphorus 1080p - Video Preset: Faster (FPS),HIB,48.74,50.644,54.525,40.211,46.277,37.725,46.795,50.669,34.091,43.346,
VVenC - Video Input: Bosphorus 4K - Video Preset: Fast (FPS),HIB,6.906,7.713,8.36,4.95,6.545,4.516,5.895,7.204,4.042,5.374,
VVenC - Video Input: Bosphorus 4K - Video Preset: Faster (FPS),HIB,15.756,17.49,18.836,11.613,14.78,10.534,13.707,16.39,9.489,12.594,
FFmpeg - Encoder: libx265 - Scenario: Live (FPS),HIB,172.61,178.75,193.31,158.64,178.72,169.29,183.99,184.34,149.6,168.57,
FFmpeg - Encoder: libx265 - Scenario: Upload (FPS),HIB,32.6,33.86,36.76,28.99,33.47,29.9,33.51,34.5,26.74,30.4,
FFmpeg - Encoder: libx265 - Scenario: Platform (FPS),HIB,66.23,68.92,74.81,59.43,68.22,62.13,68.43,70.27,55.51,62.53,
FFmpeg - Encoder: libx265 - Scenario: Video On Demand (FPS),HIB,66.16,68.95,74.84,59.38,68.25,62.17,68.44,70.28,55.53,62.51,
LAME MP3 Encoding - WAV To MP3 (sec),LIB,4.799,4.827,4.784,5.025,4.851,4.687,4.743,4.642,5.069,5.193,
FLAC Audio Encoding - WAV To FLAC (sec),LIB,12.149,12.156,11.536,12.359,11.796,11.554,11.489,11.704,12.486,12.747,
Ogg Audio Encoding - WAV To Ogg (sec),LIB,12.384,12.489,12.199,13.003,12.418,12.11,12.078,12.563,13.162,13.581,
eSpeak-NG Speech Engine - Text-To-Speech Synthesis (sec),LIB,21.322,19.915,19.556,20.809,19.712,19.276,19.283,19.821,20.938,21.544,
"PJSIP - Method: OPTIONS, Stateful (Responses/sec)",HIB,11426,11993,10707,9755,10608,10618,10917,11100,9892,12555,
"PJSIP - Method: OPTIONS, Stateless (Responses/sec)",HIB,78245,141833,154460,150575,98564,185169,161631,93012,163281,141927,
PJSIP - Method: INVITE (Responses/sec),HIB,6292,6331,6017,5392,5885,5887,5799,5966,5474,6742,
RNNoise - Input: 26 Minute Long Talking Sample (sec),LIB,7.139,7.69,7.148,7.582,7.307,7.14,7.106,6.997,7.679,8.536,
libavif avifenc - Encoder Speed: 0 (sec),LIB,88.713,74.769,67.793,121.694,91.601,138.163,105.171,83.641,150.475,117.154,
libavif avifenc - Encoder Speed: 2 (sec),LIB,41.617,37.564,34.603,57.352,44.078,63.756,50.433,41.167,69.477,55.906,
libavif avifenc - Encoder Speed: 6 (sec),LIB,4.236,3.516,3.315,6.132,4.589,6.926,5.281,4.035,7.612,5.783,
"libavif avifenc - Encoder Speed: 6, Lossless (sec)",LIB,6.884,5.999,5.633,9.179,7.202,10.109,8.01,6.604,11.154,8.802,
"libavif avifenc - Encoder Speed: 10, Lossless (sec)",LIB,3.993,3.727,3.619,4.586,4.109,4.649,4.195,3.858,5.101,4.623,
ASTC Encoder - Preset: Fast (MT/s),HIB,277.2951,366.1433,402.1611,171.85,253.2967,149.1407,205.6143,296.9101,134.7077,184.8315,
ASTC Encoder - Preset: Medium (MT/s),HIB,108.6963,142.8871,158.5672,68.7929,99.0734,57.9653,80.6861,116.5234,52.2414,72.0347,
ASTC Encoder - Preset: Thorough (MT/s),HIB,14.0968,18.4614,20.6202,8.9085,12.9233,7.4362,10.4369,15.0242,6.7907,9.3277,
ASTC Encoder - Preset: Very Thorough (MT/s),HIB,1.9421,2.5399,2.8298,1.2259,1.7843,1.017,1.4321,2.0525,0.9318,1.279,
ASTC Encoder - Preset: Exhaustive (MT/s),HIB,1.189,1.5548,1.7336,0.7517,1.0927,0.6229,0.8773,1.2519,0.5709,0.7834,
LibRaw - Post-Processing Benchmark (Mpix/sec),HIB,64.02,65.93,71.12,59.09,65.88,61.16,70.13,67.64,56.38,64.96,
Google Draco - Model: Church Facade (ms),LIB,3906,3526,4515,4746,4471,4451,4410,4555,4788,3579,
Google Draco - Model: Lion (ms),LIB,3456,3051,3434,3615,3482,3465,3414,3436,3668,3098,
GraphicsMagick - Operation: HWB Color Space (Iterations/min),HIB,252,256,283,220,255,220,251,254,202,225,
GraphicsMagick - Operation: Noise-Gaussian (Iterations/min),HIB,93,113,120,67,89,60,77,99,55,70,
GraphicsMagick - Operation: Enhanced (Iterations/min),HIB,71,88,98,44,67,37,51,71,33,48,
GraphicsMagick - Operation: Resizing (Iterations/min),HIB,289,297,340,205,278,188,258,286,170,237,
GraphicsMagick - Operation: Rotate (Iterations/min),HIB,171,166,170,142,169,170,171,171,142,159,
GraphicsMagick - Operation: Sharpen (Iterations/min),HIB,43,55,60,27,41,23,31,44,20,29,
GEGL - Operation: Rotate 90 Degrees (sec),LIB,35.949,37.088,33.878,33.157,34.463,30.308,30.23,34.917,32.868,32.295,
GEGL - Operation: Scale (sec),LIB,7.844,7.802,7.443,6.867,7.742,6.419,6.172,7.826,6.917,6.695,
GEGL - Operation: Antialias (sec),LIB,25.637,26.226,24.801,25.79,25.017,24.323,23.481,25.386,26.224,25.711,
GEGL - Operation: Cartoon (sec),LIB,64.196,66.434,63.228,62.772,62.427,58.039,57.678,62.612,62.629,63.088,
GEGL - Operation: Color Enhance (sec),LIB,35.882,36.591,34.421,36.955,34.826,34.553,33.943,34.623,37.177,37.142,
GEGL - Operation: Crop (sec),LIB,7.359,7.665,7.065,7.767,7.352,7.223,6.992,7.261,7.768,7.624,
GEGL - Operation: Wavelet Blur (sec),LIB,41.446,41.873,39.527,40.852,40.037,38.174,37.446,40.49,41.116,40.955,
GEGL - Operation: Reflect (sec),LIB,21.408,21.602,20.227,21.965,20.652,20.535,20.073,20.645,22.092,21.922,
GEGL - Operation: Tile Glass (sec),LIB,20.701,21.382,20.145,20.526,20.265,19.14,18.748,20.35,20.588,20.482,
libjpeg-turbo tjbench - Test: Decompression Throughput (Megapixels/sec),HIB,328.61025,321.799513,334.576532,311.830682,328.671937,331.619978,333.410935,319.271413,308.689366,305.025286,
"G'MIC - Test: 2D Function Plotting, 1000 Times (sec)",LIB,84.618,85.687,79.75,90.862,83.692,86.742,83.844,85.328,94.645,89.844,
"G'MIC - Test: Plotting Isosurface Of A 3D Volume, 1000 Times (sec)",LIB,10.08,10.237,9.345,10.048,9.534,9.389,9.362,9.346,10.163,10.383,
"G'MIC - Test: 3D Elevated Function In Random Colors, 100 Times (sec)",LIB,38.956,67.374,36.66,69.539,37.085,66.266,35.892,66.63,70.256,39.454,
JPEG-XL libjxl - Input: JPEG - Quality: 90 (MP/s),HIB,42.171,47.334,50.255,31.756,41.138,30.451,37.703,45.559,27.216,34.558,
JPEG-XL libjxl - Input: JPEG - Quality: 100 (MP/s),HIB,21.4,26.285,29.072,14.496,20.539,12.563,17.228,22.496,11.343,15.657,
JPEG-XL libjxl - Input: PNG - Quality: 90 (MP/s),HIB,41.369,45.093,49.243,31.432,39.996,29.95,37.441,44.986,26.915,33.9,
JPEG-XL libjxl - Input: PNG - Quality: 100 (MP/s),HIB,21.563,26.898,29.57,14.59,20.72,12.651,17.284,22.652,11.395,15.7,
JPEG-XL Decoding libjxl - CPU Threads: 1 (MP/s),HIB,82.025,81.61,86.409,81.583,87.082,87.752,88.24,84.547,81.107,79.107,
JPEG-XL Decoding libjxl - CPU Threads: All (MP/s),HIB,198.465,382.987,402.378,395.313,199.003,383.161,447.796,202.888,342.584,413.33,
WebP Image Encode - Encode Settings: Default (MP/s),HIB,25.25,25.72,25.64,25.56,23.82,27.36,25.28,27.64,25.38,23.32,
WebP Image Encode - Encode Settings: Quality 100 (MP/s),HIB,15.85,15.89,16.18,15.74,15.38,16.87,16.14,16.44,15.64,14.81,
"WebP Image Encode - Encode Settings: Quality 100, Lossless (MP/s)",HIB,2.14,2.09,2.2,2.06,2.14,2.2,2.21,2.11,2.04,1.97,
"WebP Image Encode - Encode Settings: Quality 100, Lossless, Highest Compression (MP/s)",HIB,0.81,0.79,0.86,0.78,0.84,0.85,0.85,0.86,0.77,0.76,
Liquid-DSP - Threads: 1 - Buffer Length: 256 - Filter Length: 32 (samples/s),HIB,53809000,51225000,55465000,49356667,52833333,53281333,53961667,54733667,48791000,49120667,
Liquid-DSP - Threads: 1 - Buffer Length: 256 - Filter Length: 512 (samples/s),HIB,19744000,18417800,19752333,18640000,19714333,19484571,19352667,19197000,17050467,18336333,
Liquid-DSP - Threads: 16 - Buffer Length: 256 - Filter Length: 32 (samples/s),HIB,742286667,793470000,814723333,635320000,724973333,527460000,752396667,768990000,474173333,704126667,
Liquid-DSP - Threads: 16 - Buffer Length: 256 - Filter Length: 512 (samples/s),HIB,243416667,294000000,299300000,184853333,230290000,154593333,217623333,253463333,140900000,202176667,
Liquid-DSP - Threads: 32 - Buffer Length: 256 - Filter Length: 32 (samples/s),HIB,1063366667,1381600000,1480633333,638876667,974526667,526863333,753443333,1064766667,474036667,701646667,
Liquid-DSP - Threads: 32 - Buffer Length: 256 - Filter Length: 512 (samples/s),HIB,303470000,395970000,424100000,185283333,273976667,154656667,217590000,309880000,141420000,202760000,
Ngspice - Circuit: C2670 (sec),LIB,73.986,79.253,73.76,95.856,74.849,78.982,77.234,76.099,96.187,73.593,
Ngspice - Circuit: C7552 (sec),LIB,61.733,71.729,65.496,78.462,66.515,73.026,70.767,70.999,79.503,64.51,
"srsRAN Project - Test: PUSCH Processor Benchmark, Throughput Total (Mbps)",HIB,1559.8,1698,1732.3,1200.1,1559.8,1201.8,1610.3,1667.5,1197.5,1610.4,
"srsRAN Project - Test: PUSCH Processor Benchmark, Throughput Thread (Mbps)",HIB,183.3,183.4,183.3,182.1,183.3,181.9,183.3,183.4,182.5,161.8,
"srsRAN Project - Test: PDSCH Processor Benchmark, Throughput Total (Mbps)",HIB,11019.4,13094.5,13524.3,6248.9,10432.5,5794.5,7749.4,11012,5049.2,7395.1,
"srsRAN Project - Test: PDSCH Processor Benchmark, Throughput Thread (Mbps)",HIB,927.7,883.4,1006.1,1012.7,884.8,1143.5,979.5,1085.6,1027,905.2,
TensorFlow - Device: CPU - Batch Size: 16 - Model: ResNet-50 (images/sec),HIB,37.37,40.95,42.21,28.78,36.04,24.06,33.18,36.81,24.4,33.78,
TensorFlow - Device: CPU - Batch Size: 64 - Model: ResNet-50 (images/sec),HIB,38.52,42.48,44.04,28.85,36.61,23.86,32.82,38.21,24.55,32.45,
PyTorch - Device: CPU - Batch Size: 16 - Model: ResNet-50 (batches/sec),HIB,43.1,38.88,50.74,29.37,42.37,26.46,47.31,36.4,25.02,45.55,
PyTorch - Device: CPU - Batch Size: 64 - Model: ResNet-50 (batches/sec),HIB,43.27,38.44,50.62,31.61,42.64,25.05,47.17,34.28,23.16,45.31,
OpenVINO - Model: Face Detection FP16-INT8 - Device: CPU (FPS),HIB,19.44,24.64,27.93,11.49,17.58,8.51,14.24,19.84,8.93,13.08,
OpenVINO - Model: Face Detection FP16-INT8 - Device: CPU (ms),LIB,308.31,324.05,285.87,347.45,340.71,468.58,280.67,302.06,446.91,305.68,
OpenVINO - Model: Age Gender Recognition Retail 0013 FP16-INT8 - Device: CPU (FPS),HIB,35130.28,45335.1,51016.63,23192.9,32891.44,19204.82,26816.32,37128.05,17816.76,23910.72,
OpenVINO - Model: Age Gender Recognition Retail 0013 FP16-INT8 - Device: CPU (ms),LIB,0.31,0.31,0.28,0.32,0.33,0.28,0.28,0.28,0.31,0.31,
OpenVINO - Model: Person Detection FP16 - Device: CPU (FPS),HIB,89.75,108.8,101.1,52.98,76.95,43.67,57.37,85.4,44.94,63.74,
OpenVINO - Model: Person Detection FP16 - Device: CPU (ms),LIB,66.81,73.45,79.06,75.44,77.91,91.52,69.67,70.18,88.94,62.72,
OpenVINO - Model: Weld Porosity Detection FP16-INT8 - Device: CPU (FPS),HIB,1946.18,2532.36,2829.43,1207.23,1780.54,836.49,1454.03,2066.76,927.4,1308.13,
OpenVINO - Model: Weld Porosity Detection FP16-INT8 - Device: CPU (ms),LIB,6.13,6.29,5.61,6.59,6.69,7.15,5.48,5.78,6.45,6.1,
OpenVINO - Model: Vehicle Detection FP16-INT8 - Device: CPU (FPS),HIB,1203.23,1544.28,1745.34,696.48,1096.67,574.32,902.91,1230.45,555.02,844.53,
OpenVINO - Model: Vehicle Detection FP16-INT8 - Device: CPU (ms),LIB,4.97,5.16,4.56,5.71,5.45,6.95,4.42,4.86,7.18,4.73,
OpenVINO - Model: Person Vehicle Bike Detection FP16 - Device: CPU (FPS),HIB,1145.16,1518.13,1669.37,677.35,1061.13,651.31,900.23,1164.6,565.1,858.93,
OpenVINO - Model: Person Vehicle Bike Detection FP16 - Device: CPU (ms),LIB,5.22,5.24,4.77,5.86,5.64,6.12,4.43,5.13,7.05,4.65,
OpenVINO - Model: Machine Translation EN To DE FP16 - Device: CPU (FPS),HIB,113.41,142.48,137.41,72.48,99.95,55.41,81.15,114.08,57.24,77.08,
OpenVINO - Model: Machine Translation EN To DE FP16 - Device: CPU (ms),LIB,52.85,56.06,58.13,55.1,59.98,72.12,49.27,52.53,69.82,51.86,
OpenVINO - Model: Face Detection Retail FP16-INT8 - Device: CPU (FPS),HIB,3389.94,4486.5,4912.07,2118.19,3094.18,1867.13,2524.69,3692.33,1645.44,2251.2,
OpenVINO - Model: Face Detection Retail FP16-INT8 - Device: CPU (ms),LIB,3.48,3.52,3.17,3.73,3.78,3.18,3.12,3.2,3.61,3.48,
OpenVINO - Model: Handwritten English Recognition FP16-INT8 - Device: CPU (FPS),HIB,599.96,770.61,839.75,348.13,524.64,312.6,427.16,619.64,271.24,412.93,
OpenVINO - Model: Handwritten English Recognition FP16-INT8 - Device: CPU (ms),LIB,19.97,20.73,19.02,22.91,22.83,19.17,18.7,19.34,22.05,19.37,
OpenVINO - Model: Road Segmentation ADAS FP16-INT8 - Device: CPU (FPS),HIB,393.46,529.18,478.56,237.22,340.81,216.3,256.82,398.72,194.24,293.11,
OpenVINO - Model: Road Segmentation ADAS FP16-INT8 - Device: CPU (ms),LIB,15.23,15.08,16.66,16.81,17.58,18.44,15.55,15.01,20.53,13.64,
OpenVINO - Model: Person Re-Identification Retail FP16 - Device: CPU (FPS),HIB,1377.42,1782.37,2051.84,803.23,1256.23,692.24,1058.56,1406.85,651.09,963.97,
OpenVINO - Model: Person Re-Identification Retail FP16 - Device: CPU (ms),LIB,4.34,4.47,3.88,4.95,4.76,5.76,3.77,4.25,6.12,4.14,
OpenVINO - Model: Noise Suppression Poconet-Like FP16 - Device: CPU (FPS),HIB,1575.52,1949.3,1675.44,893.04,1259.26,837.52,1006.08,1459.85,711.89,1152.59,
OpenVINO - Model: Noise Suppression Poconet-Like FP16 - Device: CPU (ms),LIB,7.54,8.11,9.39,8.88,9.4,7.09,7.83,8.11,8.35,6.9,
ONNX Runtime - Model: yolov4 - Device: CPU - Executor: Standard (Inferences/sec),HIB,10.879,6.53119,12.4441,5.68763,10.8776,5.27627,13.76,5.94532,4.86389,13.8027,
ONNX Runtime - Model: yolov4 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,91.9185,153.52,80.358,175.82,91.9291,189.556,72.6723,168.227,205.591,72.4483,
ONNX Runtime - Model: fcn-resnet101-11 - Device: CPU - Executor: Standard (Inferences/sec),HIB,2.79228,1.8043,3.58283,1.06287,2.55912,0.896666,2.1281,1.60144,0.890531,2.1511,
ONNX Runtime - Model: fcn-resnet101-11 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,358.128,554.529,279.107,940.895,390.757,1115.24,469.899,624.709,1123.02,464.876,
ONNX Runtime - Model: super-resolution-10 - Device: CPU - Executor: Standard (Inferences/sec),HIB,129.562,128.329,144.745,68.1223,135.224,65.7378,163.743,146.021,55.6843,143.546,
ONNX Runtime - Model: super-resolution-10 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,7.71794,7.7922,6.90846,14.6785,7.39486,15.2084,6.10634,6.84805,17.9556,6.96587,
ONNX Runtime - Model: bertsquad-12 - Device: CPU - Executor: Standard (Inferences/sec),HIB,15.0161,7.90246,16.7525,9.16806,15.0319,7.70716,20.3955,9.72805,7.39808,18.5152,
ONNX Runtime - Model: bertsquad-12 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,66.5936,126.544,59.6901,109.076,66.522,129.746,49.0279,107.7583,135.168,54.0078,
ONNX Runtime - Model: GPT-2 - Device: CPU - Executor: Standard (Inferences/sec),HIB,184.582,178.256,146.369,75.2688,158.215,67.9732,136.693,159.094,74.8703,169.339,
ONNX Runtime - Model: GPT-2 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,5.41472,5.60839,6.83051,13.2757,6.31744,14.7017,7.31071,6.28265,13.348,5.90131,
ONNX Runtime - Model: ArcFace ResNet-100 - Device: CPU - Executor: Standard (Inferences/sec),HIB,37.5401,24.4632,47.3839,18.0493,38.0283,15.1711,40.593,21.3683,15.4779,36.7899,
ONNX Runtime - Model: ArcFace ResNet-100 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,26.6415,41.1272,21.1032,55.404,26.2945,65.9129,24.633,47.2236,64.6061,27.1789,
ONNX Runtime - Model: ResNet50 v1-12-int8 - Device: CPU - Executor: Standard (Inferences/sec),HIB,359.631,245.392,418.421,167.086,360.854,169.498,389.662,227.876,144.052,366.325,
ONNX Runtime - Model: ResNet50 v1-12-int8 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,2.78032,4.27317,2.38938,5.98313,2.77056,5.89916,2.56552,4.58566,6.94129,2.72952,
ONNX Runtime - Model: CaffeNet 12-int8 - Device: CPU - Executor: Standard (Inferences/sec),HIB,954.834,561.805,697.976,341.655,782.661,353.32,795.415,424.761,313.896,1336.02,
ONNX Runtime - Model: CaffeNet 12-int8 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,1.04694,1.81274,1.43221,2.9249,1.27714,2.83045,1.25673,2.35381,3.18503,0.748136,
ONNX Runtime - Model: Faster R-CNN R-50-FPN-int8 - Device: CPU - Executor: Standard (Inferences/sec),HIB,57.2433,56.7484,59.1496,36.0765,55.7572,50.9859,58.5722,50.2899,35.7199,58.0833,
ONNX Runtime - Model: Faster R-CNN R-50-FPN-int8 - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,17.4683,17.6217,16.905,27.7297,17.933,19.6121,17.071,19.9192,28.021,17.2157,
ONNX Runtime - Model: T5 Encoder - Device: CPU - Executor: Standard (Inferences/sec),HIB,239.143,219.426,169.943,97.3097,189.431,79.7375,153.713,192.306,96.7618,201.65,
ONNX Runtime - Model: T5 Encoder - Device: CPU - Executor: Standard (Inference Time Cost (ms)),LIB,4.18107,4.55693,5.88386,10.2741,5.27816,12.5407,6.50356,5.19969,10.3327,4.95815,
Llamafile - Test: mistral-7b-instruct-v0.2.Q5_K_M - Acceleration: CPU (Tokens/sec),HIB,12.75,11.65,12.72,12.02,12.98,9.45,11.03,12.1,11.65,11,
Llama.cpp - Model: Meta-Llama-3-8B-Instruct-Q8_0.gguf (Tokens/sec),HIB,8.42,7.57,8.29,8.39,8.53,6.25,7.17,7.76,8.03,7.16,
Whisper.cpp - Model: ggml-base.en - Input: 2016 State of the Union (sec),LIB,91.65972,108.97706,80.17951,175.68622,94.19147,213.49225,100.14102,121.66815,221.31943,106.66217,
Whisper.cpp - Model: ggml-small.en - Input: 2016 State of the Union (sec),LIB,257.93258,323.91857,213.00304,556.932,267.51178,719.56864,303.8357,372.93379,718.75544,324.8588,
Whisper.cpp - Model: ggml-medium.en - Input: 2016 State of the Union (sec),LIB,764.21929,989.22304,614.39366,1733.233,801.31371,2264.58692,917.05739,1135.007,2227.3842,1001.62944,
DeepSpeech - Acceleration: CPU (sec),LIB,37.54928,35.14942,38.34636,36.80267,39.26491,36.80807,37.19089,38.54428,35.34375,34.53107,
GNU Octave Benchmark -  (sec),LIB,5.576,5.494,5.532,5.765,5.584,5.51,5.443,5.672,5.895,5.557,
RawTherapee - Total Benchmark Time (sec),LIB,43.92,52.387,40.689,61.458,43.204,62.091,45.129,52.628,66.06,48.057,
Darktable - Test: Boat - Acceleration: CPU-only (sec),LIB,3.686,3.608,2.911,5.897,3.767,6.76,4.633,4.019,7.238,5.089,
Darktable - Test: Masskrug - Acceleration: CPU-only (sec),LIB,2.256,2.162,1.925,3.459,2.37,3.933,2.773,2.531,4.202,2.69,
Darktable - Test: Server Room - Acceleration: CPU-only (sec),LIB,1.909,1.997,1.684,2.763,1.946,3.18,2.174,2.16,3.198,2.237,
Darktable - Test: Server Rack - Acceleration: CPU-only (sec),LIB,0.237,0.294,0.184,0.458,0.242,0.524,0.308,0.338,0.559,0.327,
GIMP - Test: unsharp-mask (sec),LIB,15.044,15.226,14.863,13.432,14.588,12.433,12.298,14.549,13.484,13.278,
GIMP - Test: resize (sec),LIB,15.064,14.995,14.216,12.323,14.445,11.531,11.119,14.285,12.414,12.025,
GIMP - Test: rotate (sec),LIB,11.655,11.156,10.916,11.468,11.047,10.967,10.721,11.137,11.712,11.603,
GIMP - Test: auto-levels (sec),LIB,12.443,12.65,12.129,12.158,12.111,11.509,11.123,12.098,12.363,12.062,
OpenSCAD - Render: Projector Mount Swivel (sec),LIB,3.697,3.915,3.666,3.725,3.697,3.575,3.628,3.744,3.784,4.107,
OpenSCAD - Render: Leonardo Phone Case Slim (sec),LIB,14.871,15.699,14.568,14.945,14.668,14.413,14.462,14.859,15.265,16.29,
OpenSCAD - Render: Pistol (sec),LIB,46.054,46.729,45.103,46.313,45.184,45.255,44.882,46.949,47.369,49.489,
OpenSCAD - Render: Retro Car (sec),LIB,2.162,2.078,2.096,2.119,2.177,2.024,2.089,2.077,2.143,2.299,
OpenSCAD - Render: Mini-ITX Case (sec),LIB,23.132,22.526,21.969,22.475,22.41,21.717,22.088,21.972,22.71,24.555,
Stockfish - Chess Benchmark (Nodes/s),HIB,33924137,46112489,47033814,18351903,29203502,16652201,24088503,35502698,14082876,23138694,
Primesieve - Length: 1e12 (sec),LIB,9.173,6.996,6.281,14.726,10.265,16.878,12.104,8.49,18.885,13.547,
Primesieve - Length: 1e13 (sec),LIB,111.424,85.096,76.597,183.269,125.144,208.051,148.044,104.43,234.633,165.133,
Y-Cruncher - Pi Digits To Calculate: 500M (sec),LIB,8.597,7.878,8,12.653,9.218,14.461,10.806,8.484,15.061,11.267,
Y-Cruncher - Pi Digits To Calculate: 1B (sec),LIB,18.551,16.847,16.914,27.696,20.093,31.033,23.688,18.332,33.345,24.733,
Aircrack-ng -  (k/s),HIB,67895.292,88876.622,96668,42902.927,60796.291,35730.634,49415.772,71383.201,33130.962,45313.566,
Radiance Benchmark - Test: SMP Parallel (sec),LIB,116.866,110.567,107.397,116.385,111.686,108.688,113.16,108.849,119.455,121.847,
Z3 Theorem Prover - SMT File: 1.smt2 (sec),LIB,16.895,13.604,17.691,21.94,18.056,17.842,17.766,18.395,21.834,14.019,
Z3 Theorem Prover - SMT File: 2.smt2 (sec),LIB,45.145,44.12,44.613,51.645,45.07,44.914,43.83,44.876,52.849,45.728,
DaCapo Benchmark - Java Test: Apache Tomcat (msec),LIB,4498,3404,3368,6593,4493,8699,6520,4435,8718,6579,
DaCapo Benchmark - Java Test: H2 Database Engine (msec),LIB,1709,1639,1656,2115,1801,2410,1840,1759,2614,1843,
DaCapo Benchmark - Java Test: Tradebeans (msec),LIB,3785,3584,3318,3236,3469,2868,2800,3413,3140,3069,
Renaissance - Test: Savina Reactors.IO (ms),LIB,3288.1,3159.8,3052.7,3195.9,3209.6,3055,2921.4,3131.9,3355.1,3092.9,
Java JMH - Throughput (Ops/s),HIB,52478665957,68371256991,78444159112,34401257374,54540585453,27489634774,39729127569,56669628392,25456111187,35580241574,